0,124
1,341
2,21
3,96
4,132
5,175
6,10
7,263
8,186
9,303
10,78
11,154
12,100
13,224
14,336
15,190
16,155
17,413
18,354
19,311
20,12
21,37
22,284
23,65
24,362
25,379
26,308
27,159
28,150
29,191
30,390
31,54
32,274
33,299
34,135
35,348
36,15
37,90
38,122
39,384
40,59
41,306
42,76
43,363
44,145
45,141
46,153
47,188
48,255
49,158
50,74
51,340
52,225
53,331
54,144
55,344
56,6
57,1
58,402
59,102
60,254
61,310
62,60
63,218
64,198
65,171
66,170
67,217
68,351
69,419
70,409
71,352
72,49
73,52
74,26
75,45
76,380
77,4
78,219
79,408
80,312
81,247
82,235
83,377
84,5
85,107
86,369
87,157
88,7
89,328
90,22
91,68
92,307
93,20
94,194
95,268
96,14
97,286
98,249
99,281
100,253
101,313
102,75
103,64
104,55
105,81
106,300
107,415
108,113
109,250
110,392
111,276
112,220
113,399
114,342
115,134
116,142
117,56
118,8
119,206
120,160
121,168
122,327
123,231
124,393
125,416
126,106
127,378
128,63
129,289
130,412
131,368
132,236
133,89
134,238
135,196
136,259
137,221
138,92
139,245
140,199
141,309
142,164
143,410
144,66
145,271
146,361
147,140
148,101
149,329
150,229
151,345
152,17
153,146
154,176
155,373
156,30
157,114
158,240
159,103
160,317
161,261
162,205
163,116
164,349
165,120
166,200
167,112
168,272
169,136
170,355
171,126
172,179
173,316
174,298
175,133
176,33
177,397
178,162
179,34
180,234
181,97
182,85
183,61
184,167
185,173
186,320
187,233
188,411
189,252
190,356
191,108
192,322
193,46
194,339
195,208
196,246
197,73
198,137
199,400
200,278
201,230
202,29
203,181
204,330
205,287
206,51
207,347
208,371
209,27
210,2
211,239
212,156
213,232
214,395
215,383
216,138
217,212
218,104
219,241
220,353
221,295
222,215
223,325
224,189
225,214
226,35
227,204
228,283
229,210
230,67
231,24
232,282
233,216
234,44
235,118
236,223
237,129
238,93
239,111
240,166
241,294
242,332
243,367
244,40
245,18
246,301
247,79
248,264
249,297
250,71
251,13
252,357
253,213
254,405
255,346
256,414
257,228
258,161
259,83
260,417
261,394
262,110
263,149
264,152
265,16
266,382
267,109
268,296
269,139
270,237
271,260
272,302
273,386
274,248
275,326
276,19
277,269
278,226
279,343
280,3
281,293
282,125
283,280
284,77
285,184
286,318
287,398
288,275
289,365
290,182
291,375
292,80
293,258
294,11
295,315
296,86
297,266
298,36
299,401
300,58
301,41
302,270
303,50
304,209
305,360
306,403
307,350
308,123
309,222
310,62
311,319
312,130
313,187
314,23
315,43
316,0
317,201
318,358
319,98
320,304
321,407
322,178
323,256
324,94
325,388
326,95
327,370
328,169
329,69
330,305
331,48
332,207
333,279
334,227
335,148
336,143
337,334
338,180
339,131
340,376
341,418
342,262
343,324
344,203
345,84
346,121
347,364
348,385
349,91
350,82
351,267
352,119
353,291
354,57
355,321
356,257
357,374
358,42
359,105
360,387
361,273
362,372
363,38
364,53
365,366
366,128
367,290
368,28
369,183
370,163
371,151
372,244
373,202
374,31
375,32
376,127
377,185
378,391
379,288
380,381
381,147
382,285
383,389
384,177
385,99
386,338
387,335
388,197
389,243
390,115
391,265
392,72
393,333
394,25
395,165
396,337
397,404
398,174
399,406
400,39
401,193
402,314
403,396
404,88
405,70
406,87
407,292
408,242
409,277
410,211
411,9
412,359
413,195
414,251
415,323
416,192
417,117
418,47
419,172
